filename	ncbi_accession	taxonomy
GCA_013391105.1_ASM1339110v1_genomic	GCA_013391105.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas salina
GCA_013391635.1_ASM1339163v1_genomic	GCA_013391635.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas gomsonensis_A
GCA_013401515.1_ASM1340151v1_genomic	GCA_013401515.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum halophilum
GCA_013402815.2_ASM1340281v2_genomic	GCA_013402815.2	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema halophilum
GCA_013402875.1_ASM1340287v1_genomic	GCA_013402875.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__Halobaculum salinum
GCA_013403005.1_ASM1340300v1_genomic	GCA_013403005.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp013403005
GCA_013407145.1_ASM1340714v1_genomic	GCA_013407145.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus cobalaminigenes
GCA_013407165.1_ASM1340716v1_genomic	GCA_013407165.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus oxyclinae
GCA_013407185.1_ASM1340718v1_genomic	GCA_013407185.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus ureiphilus
GCA_013407275.1_ASM1340727v1_genomic	GCA_013407275.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp013407275
GCA_013415565.1_ASM1341556v1_genomic	GCA_013415565.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp013415565
GCA_013415575.1_ASM1341557v1_genomic	GCA_013415575.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__UBA9949;s__UBA9949 sp013415575
GCA_013415595.1_ASM1341559v1_genomic	GCA_013415595.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__JAAEEW01;s__JAAEEW01 sp013415595
GCA_013415665.1_ASM1341566v1_genomic	GCA_013415665.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__LKUD01;s__LKUD01 sp013415665
GCA_013415695.1_ASM1341569v1_genomic	GCA_013415695.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__JAAEEP01;g__JAAEEP01;s__JAAEEP01 sp013415695
GCA_013415795.1_ASM1341579v1_genomic	GCA_013415795.1	d__Archaea;p__Halobacteriota;c__UBA148;o__UBA148;f__UBA148;g__UBA148;s__UBA148 sp013415795
GCA_013415865.1_ASM1341586v1_genomic	GCA_013415865.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__UBA472;g__MVRC01;s__MVRC01 sp013415865
GCA_013415885.1_ASM1341588v1_genomic	GCA_013415885.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex rubrum
GCA_013415905.1_ASM1341590v1_genomic	GCA_013415905.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halosimplex;s__Halosimplex pelagicum
GCA_013425325.1_ASM1342532v1_genomic	GCA_013425325.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__UBA8480;g__UBA8480;s__UBA8480 sp013425325
GCA_013425335.1_ASM1342533v1_genomic	GCA_013425335.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Fermentimicrarchaeales;f__Fermentimicrarchaeaceae;g__Fermentimicrarchaeum;s__Fermentimicrarchaeum sp013425335
GCA_013425375.1_ASM1342537v1_genomic	GCA_013425375.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__Bilamarchaeum;s__Bilamarchaeum sp013425375
GCA_013425405.1_ASM1342540v1_genomic	GCA_013425405.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Fermentimicrarchaeales;f__Fermentimicrarchaeaceae;g__Fermentimicrarchaeum;s__Fermentimicrarchaeum sp013425405
GCA_013425425.1_ASM1342542v1_genomic	GCA_013425425.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JACCLJ01;s__JACCLJ01 sp013425425
GCA_013425455.1_ASM1342545v1_genomic	GCA_013425455.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__CAIXOA01;s__CAIXOA01 sp013425455
GCA_013426015.1_ASM1342601v1_genomic	GCA_013426015.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Fermentimicrarchaeales;f__Fermentimicrarchaeaceae;g__Fermentimicrarchaeum;s__Fermentimicrarchaeum limneticum
GCA_013456555.2_ASM1345655v2_genomic	GCA_013456555.2	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema zhouii
GCA_013538675.1_ASM1353867v1_genomic	GCA_013538675.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus tengchongensis
GCA_013538715.1_ASM1353871v1_genomic	GCA_013538715.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosothermus;s__Nitrosothermus koennekei
GCA_013538805.1_ASM1353880v1_genomic	GCA_013538805.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus schleperae
GCA_013540595.1_ASM1354059v1_genomic	GCA_013540595.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Pyrodictiaceae;g__QNYQ01;s__QNYQ01 sp013540595
GCA_013572355.1_ASM1357235v1_genomic	GCA_013572355.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanogasteraceae;g__Methanogaster;s__Methanogaster sp013572355
GCA_013619005.1_ASM1361900v1_genomic	GCA_013619005.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp013619005
GCA_013694585.1_ASM1369458v1_genomic	GCA_013694585.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosocosmicus;s__Nitrosocosmicus sp013694585
GCA_013760955.1_ASM1376095v1_genomic	GCA_013760955.1	d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_A
GCA_013791785.1_ASM1379178v1_genomic	GCA_013791785.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__SG8-5;g__UBA147;s__UBA147 sp013791785
GCA_013821245.1_ASM1382124v1_genomic	GCA_013821245.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosocosmicus;s__Nitrosocosmicus sp013821245
GCA_013824915.1_ASM1382491v1_genomic	GCA_013824915.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__PNOQ01;s__PNOQ01 sp013824915
GCA_013839425.1_ASM1383942v1_genomic	GCA_013839425.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halorhabdus;s__Halorhabdus salina
GCA_013839515.1_ASM1383951v1_genomic	GCA_013839515.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Natronomonas;s__Natronomonas sp013839515
GCA_013867245.1_ASM1386724v1_genomic	GCA_013867245.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp013867245
GCA_013867335.1_ASM1386733v1_genomic	GCA_013867335.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JACEMX01;s__JACEMX01 sp013867335
GCA_013911135.1_ASM1391113v1_genomic	GCA_013911135.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp013911135
GCA_013911465.1_ASM1391146v1_genomic	GCA_013911465.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2;s__MGIIa-L2 sp013911465
GCA_014061035.1_ASM1406103v1_genomic	GCA_014061035.1	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__JACGMN01;s__JACGMN01 sp014061035
GCA_014075315.1_ASM1407531v1_genomic	GCA_014075315.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014075315
GCA_014078525.1_ASM1407852v1_genomic	GCA_014078525.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014078525
GCA_014078545.1_ASM1407854v1_genomic	GCA_014078545.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__PXYB01;s__PXYB01 sp014078545
GCA_014189675.1_ASM1418967v1_genomic	GCA_014189675.1	d__Archaea;p__Undinarchaeota;c__Undinarchaeia;o__Undinarchaeales;f__Undinarchaeaceae;g__Undinarchaeum;s__Undinarchaeum sp014189675
GCA_014189685.1_ASM1418968v1_genomic	GCA_014189685.1	d__Archaea;p__Undinarchaeota;c__Undinarchaeia;o__Undinarchaeales;f__Naiadarchaeaceae;g__Naiadarchaeum;s__Naiadarchaeum limnaeum
GCA_014212355.1_ASM1421235v1_genomic	GCA_014212355.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus ruber
GCA_014237145.1_ASM1423714v1_genomic	GCA_014237145.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanocomedenaceae;g__Methanocomedens;s__Methanocomedens sp014237145
GCA_014238095.1_ASM1423809v1_genomic	GCA_014238095.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JABABT01;s__JABABT01 sp014238095
GCA_014239585.1_ASM1423958v1_genomic	GCA_014239585.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp014239585
GCA_014239955.1_ASM1423995v1_genomic	GCA_014239955.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__UBA36;s__UBA36 sp014239955
GCA_014240055.1_ASM1424005v1_genomic	GCA_014240055.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp014240055
GCA_014240255.1_ASM1424025v1_genomic	GCA_014240255.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp014240255
GCA_014240285.1_ASM1424028v1_genomic	GCA_014240285.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp014240285
GCA_014240385.1_ASM1424038v1_genomic	GCA_014240385.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__UBA226;s__UBA226 sp014240385
GCA_014240455.1_ASM1424045v1_genomic	GCA_014240455.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__JAAZWY01;s__JAAZWY01 sp014240455
GCA_014297435.1_ASM1429743v1_genomic	GCA_014297435.1	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__PL-Br10-U2g16;s__PL-Br10-U2g16 sp014297435
GCA_014361085.1_ASM1436108v1_genomic	GCA_014361085.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__JACIWG01;f__JACIWG01;g__JACIWG01;s__JACIWG01 sp014361085
GCA_014361095.1_ASM1436109v1_genomic	GCA_014361095.1	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__Hadarchaeum;s__Hadarchaeum sp014361095
GCA_014361165.1_ASM1436116v1_genomic	GCA_014361165.1	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Mnemosynellales;f__Mnemosynellaceae;g__Mnemosynella;s__Mnemosynella bozhongmuii
GCA_014361195.1_ASM1436119v1_genomic	GCA_014361195.1	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__JdFR-43;g__JACIWB01;s__JACIWB01 sp014361195
GCA_014361205.1_ASM1436120v1_genomic	GCA_014361205.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans sp014361205
GCA_014361245.1_ASM1436124v1_genomic	GCA_014361245.1	d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__JdFR-43;g__JACIWB01;s__JACIWB01 sp014361245
GCA_014361295.1_ASM1436129v1_genomic	GCA_014361295.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__JACIVX01;g__JACIVX01;s__JACIVX01 sp014361295
GCA_014361445.1_ASM1436144v1_genomic	GCA_014361445.1	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__WYZ-LMO10;s__WYZ-LMO10 sp014361445
GCA_014361455.1_ASM1436145v1_genomic	GCA_014361455.1	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__Methanosuratincola;s__Methanosuratincola sp014361455
GCA_014381105.1_ASM1438110v1_genomic	GCA_014381105.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014381105
GCA_014384145.1_ASM1438414v1_genomic	GCA_014384145.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp014384145
GCA_014384375.1_ASM1438437v1_genomic	GCA_014384375.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp014384375
GCA_014384555.1_ASM1438455v1_genomic	GCA_014384555.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014384555
GCA_014384685.1_ASM1438468v1_genomic	GCA_014384685.1	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__MGIIb-Q1;s__MGIIb-Q1 sp014384685
GCA_014523485.1_ASM1452348v1_genomic	GCA_014523485.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__TH1177 sp014523485
GCA_014523495.1_ASM1452349v1_genomic	GCA_014523495.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523495
GCA_014523515.1_ASM1452351v1_genomic	GCA_014523515.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH1177;s__TH1177 sp014523515
GCA_014523525.1_ASM1452352v1_genomic	GCA_014523525.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523525
GCA_014523595.1_ASM1452359v1_genomic	GCA_014523595.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp014523595
GCA_014523625.1_ASM1452362v1_genomic	GCA_014523625.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5896;s__TH5896 sp014523625
GCA_014523665.1_ASM1452366v1_genomic	GCA_014523665.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5896;s__TH5896 sp014523665
GCA_014523685.1_ASM1452368v1_genomic	GCA_014523685.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__TH5893 sp014523685
GCA_014523695.1_ASM1452369v1_genomic	GCA_014523695.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5896;s__TH5896 sp014523695
GCA_014635105.1_ASM1463510v1_genomic	GCA_014635105.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax sulfurifontis
GCA_014646875.1_ASM1464687v1_genomic	GCA_014646875.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobellus;s__Halobellus salinus
GCA_014647115.1_ASM1464711v1_genomic	GCA_014647115.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__Halarchaeum rubridurum
GCA_014647155.1_ASM1464715v1_genomic	GCA_014647155.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__Halarchaeum nitratireducens
GCA_014647235.1_ASM1464723v1_genomic	GCA_014647235.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula pellucida
GCA_014647415.1_ASM1464741v1_genomic	GCA_014647415.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula sebkhae
GCA_014647455.2_ASM1464745v2_genomic	GCA_014647455.2	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halarchaeum;s__Halarchaeum grantii
GCA_014647475.1_ASM1464747v1_genomic	GCA_014647475.1	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halocalculus;s__Halocalculus aciditolerans
GCA_014727915.1_ASM1472791v1_genomic	GCA_014727915.1	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__SCGC-AAA252-I15;g__WJMO01;s__WJMO01 sp014727915
GCA_014727925.1_ASM1472792v1_genomic	GCA_014727925.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__CAIKOA01;s__CAIKOA01 sp014727925
GCA_014727975.1_ASM1472797v1_genomic	GCA_014727975.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__CAIKOA01;s__CAIKOA01 sp014727975
GCA_014728035.1_ASM1472803v1_genomic	GCA_014728035.1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SHMX01;s__SHMX01 sp014728035
GCA_014728565.1_ASM1472856v1_genomic	GCA_014728565.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__WJLK01;s__WJLK01 sp014728565
GCA_014728745.1_ASM1472874v1_genomic	GCA_014728745.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__WJLC01;s__WJLC01 sp014728745
GCA_014728835.1_ASM1472883v1_genomic	GCA_014728835.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__WJKY01;g__WJKY01;s__WJKY01 sp014728835
GCA_014728875.1_ASM1472887v1_genomic	GCA_014728875.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKV01;g__WJKV01;s__WJKV01 sp014728875
GCA_014728985.1_ASM1472898v1_genomic	GCA_014728985.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__CG10238-14;s__CG10238-14 sp014728985
GCA_014729015.1_ASM1472901v1_genomic	GCA_014729015.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKR01;g__WJKR01;s__WJKR01 sp014729015
GCA_014729055.1_ASM1472905v1_genomic	GCA_014729055.1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__WJKO01;s__WJKO01 sp014729055
GCA_014729145.1_ASM1472914v1_genomic	GCA_014729145.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKL01;g__WJKL01;s__WJKL01 sp014729145
GCA_014729195.1_ASM1472919v1_genomic	GCA_014729195.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJKI01;s__WJKI01 sp014729195
GCA_014729315.1_ASM1472931v1_genomic	GCA_014729315.1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__WJKD01;s__WJKD01 sp014729315
GCA_014729335.1_ASM1472933v1_genomic	GCA_014729335.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__WJKC01;f__WJKC01;g__WJKC01;s__WJKC01 sp014729335
GCA_014729345.1_ASM1472934v1_genomic	GCA_014729345.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKB01;g__WJKB01;s__WJKB01 sp014729345
GCA_014729495.1_ASM1472949v1_genomic	GCA_014729495.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA12501;g__WJJV01;s__WJJV01 sp014729495
GCA_014729505.1_ASM1472950v1_genomic	GCA_014729505.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJS01;s__WJJS01 sp014729505
GCA_014729555.1_ASM1472955v1_genomic	GCA_014729555.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp014729555
GCA_014729675.1_ASM1472967v1_genomic	GCA_014729675.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKL01;g__WJJM01;s__WJJM01 sp014729675
GCA_014729705.1_ASM1472970v1_genomic	GCA_014729705.1	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__SCGC-AAA252-I15;g__WJJK01;s__WJJK01 sp014729705
GCA_014729915.1_ASM1472991v1_genomic	GCA_014729915.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__WJJD01;s__WJJD01 sp014729915
GCA_014729935.1_ASM1472993v1_genomic	GCA_014729935.1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__WJJB01;s__WJJB01 sp014729935
GCA_014729945.1_ASM1472994v1_genomic	GCA_014729945.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp014729945
GCA_014729995.1_ASM1472999v1_genomic	GCA_014729995.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJIZ01;g__WJIZ01;s__WJIZ01 sp014729995
GCA_014730055.1_ASM1473005v1_genomic	GCA_014730055.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__RBG-16-57-9 sp014730055
GCA_014730115.1_ASM1473011v1_genomic	GCA_014730115.1	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__Bilamarchaeum;s__Bilamarchaeum sp014730115
GCA_014730165.1_ASM1473016v1_genomic	GCA_014730165.1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__TEKIR-8;s__TEKIR-8 sp014730165
GCA_014730275.1_ASM1473027v1_genomic	GCA_014730275.1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WJIL01;s__WJIL01 sp014730275
GCA_014730295.1_ASM1473029v1_genomic	GCA_014730295.1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__TEKIR-8;s__TEKIR-8 sp014730295
GCA_014859725.1_ASM1485972v1_genomic	GCA_014859725.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanocomedenaceae;g__Kmv04;s__Kmv04 sp014859725
GCA_014859735.1_ASM1485973v1_genomic	GCA_014859735.1	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__Alkanophagales;f__Methanospirareceae;g__ANME-1-THS;s__ANME-1-THS sp014859735
GCA_014859755.1_ASM1485975v1_genomic	GCA_014859755.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathyarchaeaceae;g__Kmv02;s__Kmv02 sp014859755
GCA_014859785.1_ASM1485978v1_genomic	GCA_014859785.1	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens_A;s__Methanoperedens_A sp014859785
GCA_014859805.1_ASM1485980v1_genomic	GCA_014859805.1	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__UBA233;g__SOJA01;s__SOJA01 sp014859805
GCA_014859835.1_ASM1485983v1_genomic	GCA_014859835.1	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA10834;f__UBA10834;g__UBA9653;s__UBA9653 sp014859835
